#"Dinge" publish
;Start
1,{ChooseFrom~Arcana,BuildingF,BuildingM,BuildingN,Crafts,DarkF,DarkM,DarkN,ElementF,ElementM,ElementN,GeologyF,GeologyM,GeologyN,Gods,MiscF,MiscM,MiscN,PeopleF,PeopleM,PeopleN,PlaceF,PlaceM,PlaceN,ReligionF,ReligionM,ReligionN,Time,TravelF,TravelM,WeaponF,WeaponM,WeaponN}

;Plural
1,{ChooseFrom~BuildingPl,DarkPl,GeologyPl,MiscPl,PeoplePl,PlacePl,ReligionPl,TimePl,TravelPl,WeaponPl}

;Prefix
1,{ChooseFrom~ArcanaPr,BuildingPr,CraftsPr,DarkPr,ElementPr,GeologyPr,MiscPr,PeoplePr,PlacePr,ReligionPr,TimePr,TravelPr,WeaponPr}

;Genitiv
1-3,des [GenitivM]
1,giftmischerei
1,kochkunst
1,korbflechterei
1,kräuterkunde
1,kürschnerei
1,malerei
1,mühlkunst
1,näherei
1,sattlerei
1,schlosserei
1,schmiedekunst
1,schusterei
1,seilerei
1,steinmetzkunst
1,tanzkunst
1,weberei
1,zieglerei
1,zimmerei

;CraftsPr
1,agrar
1,alchemie
1,back
1,bildhauer
1,brauerei
1,edelstein
1,fassbinderei
1,fischer
1,gerber
1,giftmischer
1,koch
1,korbflechter
1,kräuter
1,kürschner
1,maler
1,meuchel
1,mühl
1,näh
1,sattler
1,schlosser
1,schmiede
1,schuster
1,seiler
1,steinmetz
1,tanz
1,weber
1,ziegler
1,zimmerer

;DarkF
1,dunkelheit
1,faust
1,finsternis
1,fratze
1,kralle
1,rippe
1,wunde

;DarkGF
1,dunkelheit
1,faust
1,finsternis
1,fratze
1,kralle
1,rippe
1,wunde

;DarkGM
1,dämons
1,geists
1,hands
1,leibs
1,schattens
1,totenkopfs
1,zombies

;DarkGN
1,bluts
1,grauens
1,opfers
1,rituals
1,skeletts
1,untiers

;DarkM
1,dämon
1,geist
1,hand
1,leib
1,schatten
1,totenkopf
1,zombie

;DarkN
1,blut
1,grauen
1,opfer
1,ritual
1,skelett
1,untier

;DarkPl
1,dämonen
1,fratzen
1,fäuste
1,geister
1,hände
1,krallen
1,leiber
1,opfer
1,rippen
1,rituale
1,schatten
1,schädel
1,skelette
1,untiere
1,wunden
1,zombies

;DarkPr
1,blut
1,dämonen
1,faust
1,fratzen
1,geister
1,grauens
1,hand
1,krallen
1,leibs
1,opfer
1,rippen
1,ritual
1,schatten
1,schädel
1,skelett
1,wund
1,zombie

;ElementF
1,dunkelheit
1,einsamkeit
1,erde
1,luft
1,macht
1,ordnung

;ElementGF
1,dunkelheit
1,einsamkeit
1,erde
1,luft
1,macht
1,ordnung

;ElementGM
1,horrors
1,todes
1,untergangs
1,wahnsinns
1,zorns

;ElementGN
1,blutes
1,bösen
1,chaos
1,feuers
1,guten
1,lichts
1,wassers

;ElementM
1,horror
1,tod
1,untergang
1,wahnsinn
1,zorn

;ElementN
1,blut
1,böse
1,chaos
1,feuer
1,gute
1,licht
1,wasser

;ElementPr
1,bluts
1,chaos
1,dunkel
1,erd
1,feuer
1,horror
1,licht
1,luft
1,macht
1,ordnungs
1,todes
1,untergangs
1,wahnsinns
1,wasser
1,zornes

;GeologyF
1,gefahr
1,geschichte
1,ruine
1,siedlung

;GeologyGF
1,gefahr
1,geschichte
1,ruine
1,siedlung

;GeologyGM
1,reichtums

;GeologyGN
1,klimas
1,krauts
1,tiers
1,untiers
1,volks
1,wetters

;GeologyM
1,reichtum

;GeologyN
1,klima
1,kraut
1,tier
1,untier
1,volk
1,wetter

;GeologyPl
1,gefahren
1,geschichten
1,kräuter
1,reichtümer
1,ruinen
1,siedlungen
1,tiere
1,untiere
1,völker

;GeologyPr
1,gefahren
1,geschichten
1,klima
1,kraut
1,reichtum
1,ruine
1,siedlungs
1,tier
1,untier
1,volks
1,wetter

;Gods
1,argir
1,azrahel
1,feonor
1,gorduran
1,grenava
1,horka zorvana
1,krahl
1,link
1,mordock
1,myrasil
1,rigonon
1,sharlin darn
1,skolleus
1,talan malira

;MiscF
1,flagge
1,flamme
1,glocke
1,harfe
1,krone
1,münze
1,nacht
1,post
1,rose
1,ruhe
1,wolke

;MiscGF
1,flagge
1,flamme
1,glocke
1,harfe
1,krone
1,münze
1,nacht
1,post
1,rose
1,ruhe
1,wolke

;MiscGM
1,abends
1,ankers
1,bechers
1,edelsteins
1,handschuhs
1,kopfs
1,krugs
1,lotus
1,monds
1,rings
1,schwanzes
1,sonnenaufgangs
1,steins
1,wagens

;MiscGN
1,auges
1,buchs
1,gewands
1,glases
1,herzens
1,horns
1,kreuzes
1,lichts
1,wagenrads

;MiscM
1,abend
1,anker
1,becher
1,edelstein
1,handschuh
1,kopf
1,krug
1,lotus
1,mond
1,ring
1,schwanz
1,sonnenaufgang
1,stein
1,wagen

;MiscN
1,auge
1,buch
1,gewand
1,glas
1,herz
1,horn
1,kreuz
1,licht
1,wagenrad

;MiscPl
1,abende
1,anker
1,augen
1,becher
1,bücher
1,edelsteine
1,flaggen
1,flammen
1,gewänder
1,glocken
1,gläser
1,handschuhe
1,harfen
1,herzen
1,hörner
1,kreuze
1,kronen
1,krüge
1,köpfe
1,lichter
1,monde
1,münzen
1,ringe
1,rosen
1,ruhen
1,räder
1,schwänze
1,stein
1,wolken
1,wägen

;MiscPr
1,abend
1,anker
1,augen
1,becher
1,buch
1,edelstein
1,flaggen
1,flammen
1,gewand
1,glas
1,glocken
1,handschuh
1,harfen
1,herz
1,horn
1,kopf
1,kreuz
1,kronen
1,krug
1,licht
1,lotus
1,mond
1,münzen
1,nacht
1,post
1,rad
1,ring
1,rosen
1,ruhe
1,schwanz
1,sonnenaufgangs
1,stein
1,wagen
1,wolken

;PeopleF
1,dame
1,hexe
1,jungfrau
1,königin
1,maid
1,mätresse
1,nonne
1,prinzessin

;PeopleGF
1,dame
1,hexe
1,jungfrau
1,königin
1,maid
1,mätresse
1,nonne
1,prinzessin

;PeopleGM
1,abenteurers
1,adeligen
1,arbeiters
1,barbaren
1,barons
1,bauern
1,bischofs
1,bootsmanns
1,bruders
1,bürgerlichen
1,engels
1,fischers
1,försters
1,gladiators
1,hanfflechters
1,helden
1,henkers
1,herolds
1,herzogs
1,holzfällers
1,händlers
1,kesselflickers
1,klerikers
1,kriegers
1,köhlers
1,königs
1,magiers
1,matrosen
1,meisters
1,mönchs
1,narrs
1,priesters
1,prinzs
1,rieses
1,ritters
1,schäfers
1,sängers
1,totengräbers
1,tänzers
1,waldläufer
1,weises
1,zauberers
1,zieglers
1,zigeuners
1,zunftmeisters

;PeopleGN
1,kindes
1,mädchens
1,weibs

;PeopleM
1,abenteurer
1,adeliger
1,arbeiter
1,barbar
1,baron
1,bauer
1,bischof
1,bootsmann
1,bruder
1,bürgerlicher
1,engel
1,fischer
1,förster
1,gladiator
1,hanfflechter
1,held
1,henker
1,herold
1,herzog
1,holzfäller
1,händler
1,kesselflicker
1,kleriker
1,krieger
1,köhler
1,könig
1,magier
1,matrose
1,meister
1,mönch
1,narr
1,priester
1,prinz
1,riese
1,ritter
1,schäfer
1,sänger
1,totengräber
1,tänzer
1,waldläufer
1,weise
1,zauberer
1,ziegler
1,zigeuner
1,zunftmeister

;PeopleN
1,kind
1,mädchen
1,weib

;PeoplePl
1,abenteurer
1,adelige
1,arbeiter
1,barbaren
1,barone
1,bauern
1,bischof
1,bootsmänner
1,bruder
1,bürgerlichen
1,damen
1,engel
1,fischer
1,förster
1,gladiatoren
1,hanfflechter
1,helden
1,henker
1,herolde
1,herzöge
1,hexen
1,holzfäller
1,händler
1,jungfrauen
1,kesselflicker
1,kinder
1,kleriker
1,krieger
1,köhler
1,könige
1,königinnen
1,magier
1,maiden
1,matrosen
1,meister
1,mädchen
1,mätressen
1,mönche
1,narren
1,nonnen
1,priester
1,prinzen
1,prinzessinnen
1,riese
1,ritter
1,schäfer
1,sänger
1,totengräber
1,tänzer
1,waldläufer
1,weiber
1,weise
1,zauberer
1,ziegler
1,zigeuner
1,zunftmeister

;PeoplePr
1,abenteuer
1,adels
1,arbeiter
1,barbaren
1,barons
1,bauern
1,bischofs
1,bootsmanns
1,bruder
1,bürgerlichen
1,damen
1,engels
1,fischer
1,förster
1,gladiatoren
1,handels
1,hanfflechter
1,helden
1,henkers
1,herolds
1,herzogs
1,hexen
1,holzfäller
1,jungfrauen
1,kesselflicker
1,kinder
1,kleriker
1,krieger
1,kriegs
1,köhler
1,königinnen
1,königs
1,magier
1,maiden
1,matrosen
1,meister
1,mädchen
1,mätressen
1,mönche
1,mönchs
1,narren
1,nonnen
1,priester
1,prinzessinnen
1,prinzs
1,rieses
1,ritters
1,schäfers
1,sängers
1,totengräbers
1,tänzers
1,waldläufer
1,weiber
1,weise
1,weises
1,zauberers
1,zieglers
1,zigeuners
1,zunftmeister
1,zunftmeisters

;PlaceF
1,brücke
1,mühle
1,residenz
1,ruhe
1,schenke
1,schmiede
1,see
1,sonne
1,stätte

;PlaceGF
1,brücke
1,mühle
1,residenz
1,ruhe
1,schenke
1,schmiede
1,see
1,sonne
1,stätte

;PlaceGM
1,bergs
1,flusses
1,hügels
1,kamins
1,orts
1,ozeans
1,sterns
1,throns
1,unterschlupfs
1,walds

;PlaceGN
1,dorfs
1,nests
1,reichs
1,tals
1,tors
1,verlieses

;PlaceM
1,berg
1,fluß
1,hügel
1,kamin
1,ort
1,ozean
1,stern
1,thron
1,unterschlupf
1,wald

;PlaceN
1,dorf
1,nest
1,reich
1,tal
1,tor
1,verlies

;PlacePl
1,berge
1,brücken
1,dörfer
1,flüße
1,hügel
1,kamine
1,mühlen
1,nester
1,orte
1,ozeane
1,reiche
1,schenken
1,schmieden
1,seen
1,sterne
1,stätten
1,tore
1,täler
1,unterschlüpfe
1,verliese
1,wälder

;PlacePr
1,berg
1,brücken
1,dorf
1,fluß
1,hügel
1,kamin
1,mühlen
1,nest
1,ozean
1,reichs
1,ruhe
1,schenken
1,schmiede
1,see
1,sonnen
1,stern
1,stätten
1,tal
1,thron
1,tor
1,unterschlupf
1,verlies
1,wald

;ReligionF
1,berufung
1,hymne
1,liternai
1,rune

;ReligionGF
1,berufung
1,hymne
1,liternai
1,rune

;ReligionGM
1,heiligen
1,ordens
1,schreins
1,tempels
1,templers

;ReligionGN
1,gebets
1,relikts
1,symbols
1,wunders

;ReligionM
1,heilige
1,orden
1,schrein
1,tempel
1,templer

;ReligionN
1,gebet
1,relikt
1,symbol
1,wunder

;ReligionPl
1,gebete
1,heiligen
1,hymnen
1,liternaien
1,orden
1,relikte
1,runen
1,schreine
1,symbole
1,tempel
1,templer
1,wunder

;ReligionPr
1,berufungs
1,gebets
1,heiligen
1,hymnen
1,liternai
1,ordens
1,relikts
1,runen
1,schrein
1,symbol
1,tempel
1,templer
1,wunder

;Time
1,frühling
1,herbst
1,sommer
1,winter

;TimeG
1,frühlings
1,herbsts
1,sommers
1,winters

;TimePl
1,frühling
1,herbst
1,sommer
1,winter

;TimePr
1,frühlings
1,herbsts
1,sommers
1,winters

;TravelF
1,expedition
1,reise
1,route
1,unternehmung
1,wanderung

;TravelGF
1,expedition
1,reise
1,route
1,unternehmung
1,wanderung

;TravelGM
1,weges

;TravelM
1,weg

;TravelPl
1,expeditionen
1,reisen
1,routen
1,unternehmungen
1,wanderungen
1,wege

;TravelPr
1,expeditions
1,reise
1,routen
1,unternehmungs
1,wanderungs
1,weg

;WeaponF
1,armbrust
1,axt
1,kette
1,klinge
1,lanze
1,rüstung
1,zwylle

;WeaponGF
1,armbrust
1,axt
1,kette
1,klinge
1,lanze
1,rüstung
1,zwylle

;WeaponGM
1,degens
1,dolchs
1,helms
1,pfeils
1,speers
1,stabs
1,säbels

;WeaponGN
1,banners
1,gehänks
1,messers
1,schilds
1,schwerts
1,stiletts
1,visiers

;WeaponM
1,degen
1,dolch
1,helm
1,pfeil
1,speer
1,stab
1,säbel

;WeaponN
1,banner
1,gehänk
1,messer
1,schild
1,schwert
1,stilett
1,visier

;WeaponPl
1,armbrüste
1,banner
1,degen
1,dolche
1,gehänke
1,helme
1,ketten
1,klingen
1,lanzen
1,messer
1,pfeile
1,rüstungen
1,schilder
1,schwerter
1,speere
1,stilette
1,stäbe
1,säbel
1,visiere
1,zwyllen
1,äxte

;WeaponPr
1,armbrust
1,axt
1,banner
1,degen
1,dolch
1,gehänks
1,helm
1,ketten
1,klingen
1,lanzen
1,messer
1,pfeil
1,rüstungs
1,schild
1,schwert
1,speer
1,stab
1,stilett
1,säbel
1,visier
1,zwyllen
